subject_id,subject_category,predicate_id,object_id,object_category,mapping_justification,author_id,author_label,reviewer_id,reviewer_label,creator_id,creator_label,subject_type,object_type,mapping_date,object_match_field,comment,RegexRemoval,informationElement_localName,compound_name,term_iri
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:municipality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1266,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:verbatimLocality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1267,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:island,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1268,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:verbatimCoordinates,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1269,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,owl:intersectionOf,dwc:verbatimLongitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1272,Mathias Dillen,rdf property,rdf property,2023-09,dwc:verbatimLongitude | dwc:verbatimLatitude,All properties in object_match_field need to be present,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,owl:intersectionOf,dwc:verbatimLatitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1273,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:continent,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:country,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:countryCode,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:islandGroup,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1277,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
